timestamp_iso,timestamp_epoch,ground_truth_mps,student_mps,ground_truth_err_pct,student_err_pct
2025-12-09T15:28:14.419Z,1765294094.419562,5.850000,44.100000,1.505,
2025-12-09T15:28:14.469Z,1765294094.469562,5.860000,44.000000,1.500,
2025-12-09T15:28:14.519Z,1765294094.519562,5.870000,44.000000,1.494,
2025-12-09T15:28:14.569Z,1765294094.569562,5.870000,44.000000,1.494,
2025-12-09T15:28:14.619Z,1765294094.619562,5.840000,44.100000,1.510,
2025-12-09T15:28:14.669Z,1765294094.669562,5.800000,44.100000,1.531,
2025-12-09T15:28:14.719Z,1765294094.719562,5.770000,44.200000,1.547,
2025-12-09T15:28:14.769Z,1765294094.769562,5.740000,44.300000,1.563,
2025-12-09T15:28:14.819Z,1765294094.819562,5.730000,44.400000,1.568,
2025-12-09T15:28:14.869Z,1765294094.869562,5.710000,44.400000,1.579,
2025-12-09T15:28:14.919Z,1765294094.919562,5.700000,44.400000,1.585,
2025-12-09T15:28:14.969Z,1765294094.969562,5.670000,44.200000,1.602,
2025-12-09T15:28:15.019Z,1765294095.019562,5.610000,44.100000,1.636,
2025-12-09T15:28:15.069Z,1765294095.069562,5.570000,44.000000,1.660,
2025-12-09T15:28:15.119Z,1765294095.119562,5.540000,43.900000,1.678,
2025-12-09T15:28:15.169Z,1765294095.169562,5.520000,43.800000,1.690,
2025-12-09T15:28:15.219Z,1765294095.219562,5.500000,43.800000,1.702,
2025-12-09T15:28:15.269Z,1765294095.269562,5.480000,43.800000,1.715,
2025-12-09T15:28:15.319Z,1765294095.319562,5.470000,43.900000,1.721,
2025-12-09T15:28:15.369Z,1765294095.369562,5.450000,43.900000,1.734,
2025-12-09T15:28:15.419Z,1765294095.419562,5.440000,43.900000,1.740,
2025-12-09T15:28:15.469Z,1765294095.469562,5.430000,43.900000,1.746,
2025-12-09T15:28:15.519Z,1765294095.519562,5.420000,43.800000,1.753,
2025-12-09T15:28:15.569Z,1765294095.569562,5.420000,43.800000,1.753,
2025-12-09T15:28:15.619Z,1765294095.619562,5.410000,43.700000,1.759,
2025-12-09T15:28:15.669Z,1765294095.669562,5.410000,43.700000,1.759,
2025-12-09T15:28:15.719Z,1765294095.719562,5.440000,43.700000,1.740,
2025-12-09T15:28:15.769Z,1765294095.769562,5.470000,43.800000,1.721,
2025-12-09T15:28:15.819Z,1765294095.819562,5.480000,43.900000,1.715,
2025-12-09T15:28:15.869Z,1765294095.869562,5.500000,43.900000,1.702,
2025-12-09T15:28:15.919Z,1765294095.919562,5.510000,43.900000,1.696,
2025-12-09T15:28:15.969Z,1765294095.969562,5.520000,43.900000,1.690,
2025-12-09T15:28:16.019Z,1765294096.019562,5.520000,43.800000,1.690,
2025-12-09T15:28:16.069Z,1765294096.069562,5.550000,43.900000,1.672,
2025-12-09T15:28:16.119Z,1765294096.119562,5.580000,43.900000,1.654,
2025-12-09T15:28:16.169Z,1765294096.169562,5.600000,43.900000,1.642,
2025-12-09T15:28:16.219Z,1765294096.219562,5.620000,43.900000,1.630,
2025-12-09T15:28:16.269Z,1765294096.269562,5.630000,43.900000,1.625,
2025-12-09T15:28:16.319Z,1765294096.319562,5.640000,43.900000,1.619,
2025-12-09T15:28:16.369Z,1765294096.369562,5.650000,43.900000,1.613,
2025-12-09T15:28:16.419Z,1765294096.419562,5.580000,43.900000,1.654,
2025-12-09T15:28:16.469Z,1765294096.469562,5.500000,43.900000,1.702,
2025-12-09T15:28:16.519Z,1765294096.519562,5.430000,43.900000,1.746,
2025-12-09T15:28:16.569Z,1765294096.569562,5.380000,43.900000,1.779,
2025-12-09T15:28:16.619Z,1765294096.619562,5.340000,44.100000,1.806,
2025-12-09T15:28:16.669Z,1765294096.669562,5.310000,44.200000,1.826,
2025-12-09T15:28:16.719Z,1765294096.719562,5.290000,44.300000,1.840,
2025-12-09T15:28:16.769Z,1765294096.769562,5.280000,44.300000,1.847,
2025-12-09T15:28:16.819Z,1765294096.819562,5.290000,44.200000,1.840,
2025-12-09T15:28:16.869Z,1765294096.869562,5.290000,44.200000,1.840,
2025-12-09T15:28:16.919Z,1765294096.919562,5.290000,44.100000,1.840,
2025-12-09T15:28:16.969Z,1765294096.969562,5.290000,44.100000,1.840,
2025-12-09T15:28:17.019Z,1765294097.019562,5.300000,44.100000,1.833,
2025-12-09T15:28:17.069Z,1765294097.069562,5.300000,44.100000,1.833,
2025-12-09T15:28:17.119Z,1765294097.119562,5.310000,44.200000,1.826,
2025-12-09T15:28:17.169Z,1765294097.169562,5.370000,44.200000,1.786,
2025-12-09T15:28:17.219Z,1765294097.219562,5.420000,44.200000,1.753,
2025-12-09T15:28:17.269Z,1765294097.269562,5.450000,44.200000,1.734,
2025-12-09T15:28:17.319Z,1765294097.319562,5.480000,44.300000,1.715,
2025-12-09T15:28:17.369Z,1765294097.369562,5.500000,44.400000,1.702,
2025-12-09T15:28:17.419Z,1765294097.419562,5.510000,44.400000,1.696,
2025-12-09T15:28:17.469Z,1765294097.469562,5.520000,44.400000,1.690,
2025-12-09T15:28:17.519Z,1765294097.519562,5.510000,44.300000,1.696,
2025-12-09T15:28:17.569Z,1765294097.569562,5.500000,44.200000,1.702,
2025-12-09T15:28:17.619Z,1765294097.619562,5.490000,44.200000,1.709,
2025-12-09T15:28:17.669Z,1765294097.669562,5.490000,44.200000,1.709,
2025-12-09T15:28:17.719Z,1765294097.719562,5.480000,44.200000,1.715,
2025-12-09T15:28:17.769Z,1765294097.769562,5.480000,44.200000,1.715,
2025-12-09T15:28:17.819Z,1765294097.819562,5.480000,44.300000,1.715,
2025-12-09T15:28:17.869Z,1765294097.869562,5.510000,44.300000,1.696,
2025-12-09T15:28:17.919Z,1765294097.919562,5.540000,44.200000,1.678,
2025-12-09T15:28:17.969Z,1765294097.969562,5.570000,44.100000,1.660,
2025-12-09T15:28:18.019Z,1765294098.019562,5.590000,44.000000,1.648,
2025-12-09T15:28:18.069Z,1765294098.069562,5.600000,44.000000,1.642,
2025-12-09T15:28:18.119Z,1765294098.119562,5.610000,44.000000,1.636,
2025-12-09T15:28:18.169Z,1765294098.169562,5.620000,43.900000,1.630,
2025-12-09T15:28:18.219Z,1765294098.219562,5.740000,44.000000,1.563,
2025-12-09T15:28:18.269Z,1765294098.269562,5.900000,44.000000,1.479,
2025-12-09T15:28:18.319Z,1765294098.319562,6.020000,44.000000,1.421,
2025-12-09T15:28:18.369Z,1765294098.369562,6.110000,44.000000,1.379,
2025-12-09T15:28:18.419Z,1765294098.419562,6.180000,44.000000,1.348,
